id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled
84,Zootecnia,Zootecnia,Agrario Del Sur,Arequipa     ,Instituto,Privada,3.0,,100.0,0.0,SI,100.0,100.0,200.0
85,Agropecuaria,Producción Agropecuaria,Agrario Del Sur,Arequipa     ,Instituto,Privada,3.0,,100.0,0.0,SI,100.0,100.0,200.0
86,Educación Inicial,Educación Inicial,Agustín Bocanegra Y Prada,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
87,Educación Primaria,Educación Primaria,Agustín Bocanegra Y Prada,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
88,Idiomas,Idiomas,Agustín Bocanegra Y Prada,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
89,Ciencias de la Computación,Computación e Informática,Agustín Bocanegra Y Prada,Ica          ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
90,Agropecuaria,Producción Agropecuaria,Agustín Haya De La Torre,Áncash       ,Instituto,Pública,3.0,140.0,100.0,0.0,SI,22.0,22.0,41.0
91,Enfermería,Enfermería Técnica,Agustín Haya De La Torre,Áncash       ,Instituto,Pública,3.0,140.0,89.0,0.0,SI,35.0,39.0,83.0
92,Agropecuaria,Producción Agropecuaria,Aija,Áncash       ,Instituto,Pública,3.0,20.0,86.0,0.0,SI,20.0,23.0,20.0
93,Secretariado,Secretariado Ejecutivo,Alas Peruanas,Lambayeque   ,Instituto,Privada,3.0,1280.0,0.0,0.0,NO,0.0,0.0,0.0
94,Ciencias de la Computación,Computación e Informática,Alas Peruanas,Lambayeque   ,Instituto,Privada,3.0,1280.0,0.0,0.0,NO,0.0,0.0,0.0
95,Enfermería,Enfermería Técnica,Alas Peruanas,Lambayeque   ,Instituto,Privada,3.0,1280.0,0.0,0.0,NO,0.0,0.0,0.0
96,Administración de Empresas,Administración,Alas Peruanas - Arequipa,Arequipa     ,Instituto,Privada,3.0,1960.0,90.0,0.0,NO,72.0,80.0,174.0
97,Contabilidad y Finanzas,Contabilidad,Alas Peruanas - Arequipa,Arequipa     ,Instituto,Privada,3.0,1960.0,94.0,0.0,NO,49.0,52.0,191.0
98,Ciencias de la Computación,Computación,Alas Peruanas - Arequipa,Arequipa     ,Instituto,Privada,3.0,1960.0,100.0,0.0,NO,27.0,27.0,43.0
99,Odontología,Prótesis Dental,Alas Peruanas - Arequipa,Arequipa     ,Instituto,Privada,3.0,1960.0,70.0,0.0,NO,7.0,10.0,7.0
100,Contabilidad y Finanzas,Contabilidad Computarizada,Alas Peruanas - Chincha,Ica          ,Instituto,Privada,3.0,,70.0,0.0,SI,7.0,10.0,12.0
101,Ciencias de la Computación,Computación e Informática,Alas Peruanas - Chincha,Ica          ,Instituto,Privada,3.0,,40.0,0.0,SI,10.0,25.0,43.0
102,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Servicios de Hostelería,Alas Peruanas - Ica,Ica          ,Instituto,Privada,3.0,1020.0,0.0,0.0,SI,0.0,0.0,0.0
103,Negocios Internacionales,Administración de Negocios Internacionales,Alas Peruanas - Ica,Ica          ,Instituto,Privada,3.0,1140.0,89.0,0.0,SI,94.0,105.0,229.0
104,Secretariado,Secretariado Ejecutivo,Alas Peruanas - Ica,Ica          ,Instituto,Privada,3.0,1020.0,0.0,0.0,SI,0.0,0.0,0.0
105,Contabilidad y Finanzas,Contabilidad,Alas Peruanas - Ica,Ica          ,Instituto,Privada,3.0,1020.0,83.0,0.0,SI,30.0,36.0,69.0
106,Ciencias de la Computación,Computación e Informática,Alas Peruanas - Ica,Ica          ,Instituto,Privada,3.0,1020.0,77.0,0.0,SI,27.0,35.0,60.0
107,Enfermería,Enfermería Técnica,Alas Peruanas - Ica,Ica          ,Instituto,Privada,3.0,1120.0,93.0,0.0,SI,40.0,43.0,67.0
108,Administración de Empresas,Administración de Negocios,Alas Peruanas - Lima Instituto de Estudios Empresariales,Lima         ,Instituto,Privada,3.0,4200.0,100.0,1959.0,SI,39.0,39.0,39.0
109,Marketing,Marketing,Alas Peruanas - Lima Instituto de Estudios Empresariales,Lima         ,Instituto,Privada,3.0,4200.0,100.0,0.0,SI,14.0,14.0,14.0
110,Contabilidad y Finanzas,Contabilidad,Alas Peruanas - Lima Instituto de Estudios Empresariales,Lima         ,Instituto,Privada,3.0,4200.0,100.0,1810.0,SI,21.0,21.0,21.0
111,Ciencias de la Computación,Computación e Informática,Alas Peruanas - Lima Instituto de Estudios Empresariales,Lima         ,Instituto,Privada,3.0,4200.0,100.0,1568.0,SI,13.0,13.0,13.0
112,Administración de Empresas,Administración de Empresas,Alas Peruanas - Piura,Piura        ,Instituto,Privada,3.0,1620.0,95.0,0.0,SI,326.0,340.0,1209.0
113,Secretariado,Secretariado Ejecutivo,Alas Peruanas - Piura,Piura        ,Instituto,Privada,3.0,1620.0,85.0,0.0,SI,17.0,20.0,133.0
114,Contabilidad y Finanzas,Contabilidad,Alas Peruanas - Piura,Piura        ,Instituto,Privada,3.0,1620.0,90.0,0.0,SI,77.0,85.0,291.0
115,Ciencias de la Computación,Computación e Informática,Alas Peruanas - Piura,Piura        ,Instituto,Privada,3.0,1520.0,90.0,0.0,SI,63.0,70.0,277.0
116,Enfermería,Enfermería Técnica,Alas Peruanas - Piura,Piura        ,Instituto,Privada,3.0,2600.0,90.0,0.0,SI,50.0,55.0,188.0
117,Turismo,Guía Oficial de Turismo,Alas Peruanas - Piura,Piura        ,Instituto,Privada,3.0,1620.0,75.0,0.0,SI,15.0,20.0,125.0
118,Marketing,Marketing,Albert Einstein,Arequipa     ,Instituto,Privada,3.0,,0.0,0.0,NO,0.0,0.0,0.0
119,Negocios Internacionales,Administración de Negocios Internacionales,Albert Einstein,Arequipa     ,Instituto,Privada,3.0,,0.0,0.0,NO,0.0,0.0,71.0
120,Contabilidad y Finanzas,Contabilidad,Albert Einstein,Arequipa     ,Instituto,Privada,3.0,,0.0,0.0,NO,0.0,0.0,44.0
121,Educación Inicial,Educación Inicial,Albert Einstein,Lima         ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
122,Educación Primaria,Educación Primaria,Albert Einstein,Lima         ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
123,Educación Secundaria,"Educación Secundaria - Ciencia, Tecnología y Ambiente",Albert Einstein,Lima         ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
124,Enfermería,Enfermería Técnica,Alberto Barton Thompsom,Cajamarca    ,Instituto,Privada,3.0,1640.0,94.0,0.0,SI,104.0,110.0,104.0
125,Tecnología Médica,Fisioterapia y Rehabilitación,Alberto Barton Thompsom,Cajamarca    ,Instituto,Privada,3.0,1640.0,91.0,0.0,SI,32.0,35.0,32.0
126,Tecnología Médica,Laboratorio Clínico,Alberto Barton Thompsom,Cajamarca    ,Instituto,Privada,3.0,1640.0,84.0,0.0,NO,22.0,26.0,22.0
127,Farmacia y Bioquímica,Farmacia,Alberto Barton Thompsom,Cajamarca    ,Instituto,Privada,3.0,1640.0,90.0,0.0,SI,70.0,77.0,70.0
128,Educación Inicial,Educación Inicial,Alberto Cornejo Ramos,Áncash       ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
129,Educación Primaria,Educación Primaria,Alberto Cornejo Ramos,Áncash       ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
130,Educación Secundaria,Educación Secundaria - Comunicación,Alberto Cornejo Ramos,Áncash       ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
131,Educación Secundaria,Educación Secundaria - Matemática,Alberto Cornejo Ramos,Áncash       ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
132,Ciencias de la Computación,Computación e Informática,Alberto Cornejo Ramos,Áncash       ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
133,Ciencias de la Computación,Computación e Informática,Alberto Pumayalla Díaz,Pasco        ,Instituto,Pública,3.0,60.0,50.0,0.0,NO,35.0,70.0,59.0
134,"Ingeniería Minera, Metalurgia y Petróleo",Explotación Minera,Alberto Pumayalla Díaz,Pasco        ,Instituto,Pública,3.0,60.0,50.0,0.0,NO,35.0,70.0,48.0
135,Educación Primaria,Educación Primaria,Alejandro Sánchez Arteaga,Piura        ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
136,Educación Física,Educación Física,Alejandro Sánchez Arteaga,Piura        ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
137,Educación Inicial,Educación Inicial,Alexander Fleming,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
138,Educación Primaria,Educación Primaria,Alexander Fleming,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
139,Educación Secundaria,Educación Secundaria - Ciencias Sociales,Alexander Fleming,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
140,Educación Secundaria,Educación Secundaria - Comunicación,Alexander Fleming,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
141,Idiomas,Idiomas,Alexander Fleming,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
142,Ciencias de la Computación,Computación e Informática,Alexander Fleming,La Libertad  ,Instituto,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
143,Administración de Empresas,Administración y Gestión Empresarial,Alexander Von Humboldt,Lima         ,Instituto,Privada,2.0,20500.0,94.0,0.0,SI,17.0,18.0,17.0
144,Negocios Internacionales,Logística del Comercio Internacional,Alexander Von Humboldt,Lima         ,Instituto,Privada,2.0,13324.0,66.0,0.0,SI,12.0,18.0,11.0
145,Otras Carreras de Administración,Comercio,Alexander Von Humboldt,Lima         ,Instituto,Privada,2.0,13324.0,66.0,0.0,SI,8.0,12.0,8.0
146,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Gastronomía y Arte Culinario,Alexander Von Humboldt,Pasco        ,Instituto,Pública,3.0,250.0,95.0,0.0,SI,40.0,42.0,57.0
147,Ciencias de la Computación,Computación e Informática,Alexander Von Humboldt,Pasco        ,Instituto,Pública,3.0,240.0,88.0,0.0,SI,40.0,45.0,70.0
148,Ingeniería Mecánica,Mecánica Automotriz,Alexander Von Humboldt,Pasco        ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,25.0,25.0,42.0
149,Agropecuaria,Producción Agropecuaria,Alexander Von Humboldt,Pasco        ,Instituto,Pública,3.0,240.0,90.0,0.0,SI,40.0,44.0,69.0
