id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled
3876,Ecología y Medio Ambiente,Ingeniería Ambiental,Universidad Alas Peruanas,Ucayali      ,Universidad,Privada,0.0,0.0,0.0,2385.0,NO,0.0,0.0,0.0
3877,Veterinaria,Medicina Veterinaria,Universidad Alas Peruanas,Ucayali      ,Universidad,Privada,0.0,0.0,0.0,2117.0,NO,0.0,0.0,0.0
3878,Odontología,Estomatología,Universidad Alas Peruanas,Ucayali      ,Universidad,Privada,0.0,0.0,0.0,1792.0,NO,0.0,0.0,0.0
3879,Enfermería,Enfermería,Universidad Alas Peruanas,Ucayali      ,Universidad,Privada,0.0,0.0,0.0,1980.0,NO,0.0,0.0,0.0
3880,Obstetricia,Obstetricia,Universidad Alas Peruanas,Ucayali      ,Universidad,Privada,0.0,0.0,0.0,1810.0,NO,0.0,0.0,0.0
3881,Psicología,Psicología,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,7002.0,74.0,2441.0,SI,231.0,310.0,927.0
3882,Administración de Empresas,Administración,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,7002.0,68.0,2548.0,SI,308.0,452.0,1599.0
3883,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Turismo,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,6596.0,98.0,2029.0,SI,87.0,88.0,601.0
3884,Negocios Internacionales,Administración de Negocios Internacionales,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,7002.0,68.0,0.0,SI,154.0,226.0,171.0
3885,Economía,Economía ,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,7002.0,53.0,2555.0,SI,315.0,585.0,1161.0
3886,Contabilidad y Finanzas,Contabilidad,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,7002.0,67.0,2591.0,SI,316.0,466.0,1777.0
3887,Derecho,Derecho,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,6.0,7002.0,58.0,2532.0,SI,436.0,746.0,2093.0
3888,Ingeniería de Sistemas y Cómputo,Ingeniería de Sistemas,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,8122.0,82.0,2550.0,SI,141.0,170.0,589.0
3889,Ingeniería Industrial,Ingeniería Industrial,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,8122.0,65.0,3018.0,SI,239.0,366.0,828.0
3890,Ingeniería Civil,Ingeniería Civil,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,8122.0,18.0,4327.0,SI,270.0,1472.0,1528.0
3891,Arquitectura y Urbanismo,Arquitectura,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,8122.0,37.0,0.0,SI,301.0,810.0,356.0
3892,Ecología y Medio Ambiente,Ingeniería Ambiental,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,8122.0,40.0,0.0,SI,116.0,290.0,119.0
3893,Medicina,Medicina Humana,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,7.0,13172.0,26.0,0.0,SI,209.0,788.0,851.0
3894,Odontología,Estomatología,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,8516.0,84.0,0.0,SI,105.0,125.0,769.0
3895,Enfermería,Enfermería,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,5214.0,93.0,2309.0,SI,55.0,59.0,389.0
3896,Tecnología Médica,Terapia Física y Rehabilitación,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,5456.0,0.0,0.0,SI,0.0,0.0,0.0
3897,Obstetricia,Obstetricia,Universidad Andina Del Cusco,Cusco        ,Universidad,Privada,5.0,6506.0,96.0,2108.0,SI,78.0,81.0,373.0
3898,Administración de Empresas,Administración,Universidad Andina Del Cusco,Madre De Dios,Universidad,Privada,0.0,0.0,0.0,2548.0,NO,0.0,0.0,0.0
3899,Contabilidad y Finanzas,Contabilidad,Universidad Andina Del Cusco,Madre De Dios,Universidad,Privada,0.0,0.0,0.0,2591.0,NO,0.0,0.0,0.0
3900,Derecho,Derecho,Universidad Andina Del Cusco,Madre De Dios,Universidad,Privada,0.0,0.0,0.0,2532.0,NO,0.0,0.0,0.0
3901,Educación Inicial,Educación Inicial,Universidad Andina Néstor Cáceres Velásquez,Arequipa     ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3902,Psicología,Psicología,Universidad Andina Néstor Cáceres Velásquez,Arequipa     ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3903,"Administración de Servicios Turísticos, Hotelería y Gastronomía","Administración en Turismo, Hotelería y Gastronomía",Universidad Andina Néstor Cáceres Velásquez,Arequipa     ,Universidad,Privada,0.0,0.0,0.0,1456.0,NO,0.0,0.0,0.0
3904,Marketing,Administración y Marketing,Universidad Andina Néstor Cáceres Velásquez,Arequipa     ,Universidad,Privada,0.0,0.0,0.0,2071.0,NO,0.0,0.0,0.0
3905,Contabilidad y Finanzas,Contabilidad,Universidad Andina Néstor Cáceres Velásquez,Arequipa     ,Universidad,Privada,0.0,0.0,0.0,2198.0,NO,0.0,0.0,0.0
3906,Derecho,Derecho,Universidad Andina Néstor Cáceres Velásquez,Arequipa     ,Universidad,Privada,0.0,0.0,0.0,2185.0,NO,0.0,0.0,0.0
3907,Ingeniería de Sistemas y Cómputo,Ingeniería de Sistemas,Universidad Andina Néstor Cáceres Velásquez,Arequipa     ,Universidad,Privada,0.0,0.0,0.0,2223.0,NO,0.0,0.0,0.0
3908,Ingeniería Civil,Ingeniería Civil,Universidad Andina Néstor Cáceres Velásquez,Arequipa     ,Universidad,Privada,0.0,0.0,0.0,3443.0,NO,0.0,0.0,0.0
3909,Odontología,Odontología,Universidad Andina Néstor Cáceres Velásquez,Arequipa     ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3910,Enfermería,Enfermería,Universidad Andina Néstor Cáceres Velásquez,Arequipa     ,Universidad,Privada,0.0,0.0,0.0,1843.0,NO,0.0,0.0,0.0
3911,Psicología,Psicología,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,75.0,0.0,SI,160.0,212.0,182.0
3912,"Administración de Servicios Turísticos, Hotelería y Gastronomía","Administración en Turismo, Hotelería y Gastronomía",Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,0.0,0.0,0.0,1456.0,NO,0.0,0.0,0.0
3913,Marketing,Administración y Marketing,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,98.0,2071.0,SI,233.0,237.0,1775.0
3914,Negocios Internacionales,Administración de Negocios Internacionales,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3915,Economía,Economía y Negocios Internacionales,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,96.0,0.0,SI,147.0,152.0,399.0
3916,Contabilidad y Finanzas,Contabilidad,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,43.0,2198.0,SI,322.0,741.0,2325.0
3917,Derecho,Derecho,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,6.0,,44.0,2185.0,SI,349.0,785.0,2241.0
3918,Ingeniería de Sistemas y Cómputo,Ingeniería de Sistemas,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,98.0,2223.0,SI,87.0,88.0,315.0
3919,Ingeniería Industrial,Ingeniería Industrial,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,98.0,2242.0,SI,141.0,143.0,381.0
3920,Ingeniería Electrónica,Ingeniería Electrónica y Telecomunicaciones,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,97.0,0.0,SI,37.0,38.0,158.0
3921,Ingeniería Mecánica,Ingeniería Mecánica Eléctrica,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,100.0,0.0,SI,84.0,84.0,486.0
3922,Ingeniería Mecánica,Ingeniería Mecatrónica,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3923,Ingeniería Civil,Ingeniería Civil,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,31.0,3443.0,SI,275.0,884.0,2084.0
3924,Ingeniería Sanitaria,Ingeniería Sanitaria y Ambiental,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,85.0,0.0,SI,221.0,259.0,954.0
3925,Arquitectura y Urbanismo,Arquitectura y Urbanismo,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,98.0,0.0,SI,199.0,202.0,734.0
3926,Veterinaria,Medicina Veterinaria y Zootecnia,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3927,Medicina,Medicina Humana,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,7.0,,11.0,0.0,SI,63.0,572.0,635.0
3928,Odontología,Odontología,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,85.0,0.0,SI,137.0,161.0,1140.0
3929,Enfermería,Enfermería,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,99.0,1843.0,SI,103.0,104.0,506.0
3930,Farmacia y Bioquímica,Farmacia y Bioquímica,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,55.0,,100.0,2437.0,SI,135.0,135.0,622.0
3931,Obstetricia,Obstetricia,Universidad Andina Néstor Cáceres Velásquez,Puno         ,Universidad,Privada,5.0,,95.0,2206.0,SI,80.0,84.0,449.0
3932,Educación Inicial,Educación Inicial,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,5.0,,75.0,0.0,SI,3.0,4.0,13.0
3933,Educación Primaria,Educación Primaria,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,5.0,,33.0,0.0,SI,1.0,3.0,3.0
3934,Educación Primaria,Educación Primaria y Bilingüe Intercultural,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,5.0,,72.0,0.0,SI,24.0,33.0,21.0
3935,Educación Secundaria,Educación Secundaria,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,5.0,,100.0,0.0,SI,11.0,11.0,58.0
3936,Educación Secundaria,Educación Secundaria - Ciencia Tecnología y Ambiente,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3937,Educación Secundaria,Educación Secundaria - Inglés,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3938,Educación Secundaria,Educación Secundaria - Lengua y Literatura,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3939,Educación Secundaria,Educación Secundaria - Matemática,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3940,Educación Secundaria,Educación Secundaria - Religión,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3941,Teología y Filosofía,Filosofía,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,5.0,,94.0,0.0,SI,18.0,19.0,103.0
3942,Psicología,Psicología,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,6.0,,98.0,0.0,SI,83.0,84.0,268.0
3943,Periodismo y Locución,Periodismo,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,5.0,,88.0,0.0,SI,15.0,17.0,90.0
3944,Administración de Empresas,Administración,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,5.0,,89.0,0.0,SI,44.0,49.0,141.0
3945,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Turismo Sostenible,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,5.0,,97.0,0.0,SI,34.0,35.0,80.0
3946,Economía,Economía y Gestión Ambiental,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,5.0,,94.0,0.0,SI,48.0,51.0,143.0
3947,Derecho,Derecho,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,6.0,,96.0,0.0,SI,31.0,32.0,123.0
3948,Ciencias Políticas,Ciencia Política,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,5.0,,100.0,0.0,SI,24.0,24.0,123.0
3949,Ingeniería Industrial,Ingeniería Industrial,Universidad Antonio Ruíz De Montoya,Lima         ,Universidad,Privada,5.0,,97.0,0.0,SI,75.0,77.0,166.0
3950,Psicología,Psicología,Universidad Autónoma del Perú,Lima         ,Universidad,Privada,5.0,,59.0,2217.0,SI,100.0,169.0,1534.0
3951,Administración de Empresas,Administración,Universidad Autónoma del Perú,Lima         ,Universidad,Privada,5.0,,79.0,2393.0,SI,250.0,315.0,1902.0
3952,Contabilidad y Finanzas,Contabilidad,Universidad Autónoma del Perú,Lima         ,Universidad,Privada,5.0,,76.0,2229.0,SI,150.0,195.0,1212.0
3953,Derecho,Derecho,Universidad Autónoma del Perú,Lima         ,Universidad,Privada,5.0,,84.0,0.0,SI,200.0,236.0,1376.0
3954,Ingeniería de Sistemas y Cómputo,Ingeniería de Sistemas,Universidad Autónoma del Perú,Lima         ,Universidad,Privada,5.0,,83.0,2513.0,SI,300.0,358.0,1591.0
3955,Administración de Empresas,Ingeniería Comercial y Financiera,Universidad Autónoma San Francisco,Arequipa     ,Universidad,Privada,5.0,,95.0,0.0,SI,40.0,42.0,154.0
3956,"Administración de Servicios Turísticos, Hotelería y Gastronomía","Turismo, Hotelería y Gastronomía",Universidad Autónoma San Francisco,Arequipa     ,Universidad,Privada,5.0,,0.0,0.0,SI,0.0,0.0,40.0
3957,Derecho,Derecho,Universidad Autónoma San Francisco,Arequipa     ,Universidad,Privada,6.0,,96.0,0.0,SI,78.0,81.0,171.0
3958,Ingeniería Industrial,Ingeniería Industrial,Universidad Autónoma San Francisco,Arequipa     ,Universidad,Privada,5.0,,93.0,0.0,SI,75.0,80.0,260.0
3959,Ingeniería Mecánica,Ingeniería Mecánica,Universidad Autónoma San Francisco,Arequipa     ,Universidad,Privada,5.0,,95.0,0.0,SI,89.0,93.0,165.0
3960,Teología y Filosofía,Teología,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,100.0,0.0,SI,3.0,3.0,8.0
3961,Trabajo Social,Trabajo Social,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,3400.0,100.0,0.0,NO,32.0,32.0,83.0
3962,Psicología,Psicología,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,26.0,2365.0,SI,93.0,357.0,426.0
3963,Ciencias de la Comunicación,Ciencias de la Comunicación Social,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,42.0,2258.0,NO,82.0,191.0,320.0
3964,Periodismo y Locución,Publicidad y Multimedia,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,38.0,2125.0,SI,82.0,214.0,374.0
3965,Administración de Empresas,Administración de Empresas,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,35.0,2634.0,SI,191.0,540.0,825.0
3966,Administración de Empresas,Ingeniería Comercial,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,24.0,2634.0,SI,123.0,494.0,651.0
3967,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Turismo y Hotelería,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,133.0,1696.0,SI,92.0,69.0,249.0
3968,Contabilidad y Finanzas,Contabilidad,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,71.0,2040.0,SI,133.0,185.0,568.0
3969,Derecho,Derecho,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,6.0,,27.0,2525.0,SI,179.0,646.0,1153.0
3970,Ciencias Políticas,Ciencia Política y Gobierno,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3971,Biología,Ingeniería Biotecnológica,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,64.0,1693.0,SI,85.0,132.0,300.0
3972,Ingeniería de Sistemas y Cómputo,Ingeniería de Sistemas,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,65.0,2529.0,SI,115.0,176.0,521.0
3973,Ingeniería Industrial,Ingeniería Industrial,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,18.0,3206.0,SI,170.0,943.0,931.0
3974,Ingeniería en Industrias Alimentarias,Ingeniería de Industrias Alimentarias,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,92.0,2453.0,SI,93.0,101.0,301.0
3975,Ingeniería Electrónica,Ingeniería Electrónica,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,68.0,3664.0,SI,126.0,185.0,458.0
3976,Ingeniería Mecánica,Ingeniería Mecánica Eléctrica y Mecatrónica,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,25.0,4007.0,SI,172.0,669.0,1074.0
3977,"Ingeniería Minera, Metalurgia y Petróleo",Ingeniería de Minas,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,28.0,0.0,SI,119.0,421.0,393.0
3978,Ingeniería Civil,Ingeniería Civil,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,19.0,3590.0,SI,128.0,658.0,750.0
3979,Arquitectura y Urbanismo,Arquitectura,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,16.0,2290.0,SI,109.0,660.0,547.0
3980,Ecología y Medio Ambiente,Ingeniería Ambiental,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,20.0,0.0,SI,86.0,415.0,295.0
3981,Veterinaria,Medicina Veterinaria y Zootecnia,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,89.0,2119.0,SI,131.0,147.0,430.0
3982,Medicina,Medicina Humana,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,7.0,,5.0,4396.0,SI,111.0,2013.0,979.0
3983,Odontología,Odontología,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,22.0,0.0,SI,109.0,485.0,704.0
3984,Enfermería,Enfermería,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,5.0,,67.0,2041.0,SI,82.0,121.0,307.0
3985,Farmacia y Bioquímica,Farmacia y Bioquímica,Universidad Católica de Santa María,Arequipa     ,Universidad,Privada,55.0,,72.0,2416.0,SI,93.0,129.0,323.0
3986,Educación Inicial,Educación Inicial,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3987,Educación Primaria,Educación Primaria,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3988,Educación Secundaria,Educación Secundaria,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3989,Educación Secundaria,Educación Secundaria - Ciencias Sociales,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3990,Educación Secundaria,Educación Secundaria - Computación e Informática,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3991,Educación Secundaria,Educación Secundaria - Lengua y Literatura,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3992,Educación Secundaria,Educación Secundaria - Matemática y Física,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3993,Otras Carreras de Educación,Otras Carreras de Educación,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3994,Teología y Filosofía,Teología,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3995,Psicología,Psicología,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3996,Ciencias de la Comunicación,Ciencias de la Comunicación,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,5.0,,0.0,0.0,NO,0.0,0.0,0.0
3997,Administración de Empresas,Administración,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,1675.0,NO,0.0,0.0,0.0
3998,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración Turística,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
3999,Contabilidad y Finanzas,Contabilidad,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4000,Derecho,Derecho,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4001,Ingeniería Industrial,Ingeniería Industrial,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4002,Ingeniería Mecánica,Ingeniería Mecánica Eléctrica,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4003,"Ingeniería Minera, Metalurgia y Petróleo",Ingeniería de Minas,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4004,Ingeniería Civil,Ingeniería Civil,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4005,Ecología y Medio Ambiente,Ingeniería Ambiental,Universidad Católica de Trujillo Benedicto XVI,La Libertad  ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4006,Educación Inicial,Educación Inicial,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,91.0,0.0,SI,1064.0,1157.0,2908.0
4007,Educación Primaria,Educación Primaria,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,90.0,0.0,NO,262.0,288.0,830.0
4008,Psicología,Psicología,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,100.0,1856.0,SI,1547.0,1547.0,3527.0
4009,Administración de Empresas,Administración,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,89.0,2165.0,SI,2409.0,2700.0,8289.0
4010,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración Turística,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,80.0,2095.0,SI,58.0,72.0,207.0
4011,Contabilidad y Finanzas,Contabilidad,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,90.0,1888.0,SI,2765.0,3061.0,9715.0
4012,Derecho,Derecho,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,6.0,,87.0,2189.0,SI,2635.0,2996.0,11203.0
4013,Ingeniería de Sistemas y Cómputo,Ingeniería de Sistemas,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,90.0,2325.0,SI,403.0,447.0,1656.0
4014,Ingeniería Civil,Ingeniería Civil,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,88.0,2923.0,SI,1216.0,1376.0,4251.0
4015,Odontología,Odontología,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,92.0,0.0,SI,220.0,239.0,1330.0
4016,Enfermería,Enfermería,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,93.0,1936.0,SI,502.0,538.0,1802.0
4017,Farmacia y Bioquímica,Farmacia y Bioquímica,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,92.0,2803.0,SI,248.0,268.0,1175.0
4018,Obstetricia,Obstetricia,Universidad Católica Los Ángeles de Chimbote,Áncash       ,Universidad,Privada,5.0,,93.0,2000.0,SI,349.0,375.0,1354.0
4019,Educación Inicial,Educación Inicial,Universidad Católica Los Ángeles de Chimbote,Ayacucho     ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4020,Educación Primaria,Educación Primaria,Universidad Católica Los Ángeles de Chimbote,Ayacucho     ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4021,Psicología,Psicología,Universidad Católica Los Ángeles de Chimbote,Ayacucho     ,Universidad,Privada,0.0,0.0,0.0,1856.0,NO,0.0,0.0,0.0
4022,Administración de Empresas,Administración,Universidad Católica Los Ángeles de Chimbote,Ayacucho     ,Universidad,Privada,0.0,0.0,0.0,2165.0,NO,0.0,0.0,0.0
4023,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración Turística,Universidad Católica Los Ángeles de Chimbote,Ayacucho     ,Universidad,Privada,0.0,0.0,0.0,2095.0,NO,0.0,0.0,0.0
4024,Contabilidad y Finanzas,Contabilidad,Universidad Católica Los Ángeles de Chimbote,Ayacucho     ,Universidad,Privada,0.0,0.0,0.0,1888.0,NO,0.0,0.0,0.0
4025,Derecho,Derecho,Universidad Católica Los Ángeles de Chimbote,Ayacucho     ,Universidad,Privada,0.0,0.0,0.0,2189.0,NO,0.0,0.0,0.0
4026,Ingeniería Civil,Ingeniería Civil,Universidad Católica Los Ángeles de Chimbote,Ayacucho     ,Universidad,Privada,0.0,0.0,0.0,2923.0,NO,0.0,0.0,0.0
4027,Educación Inicial,Educación Inicial,Universidad Católica Los Ángeles de Chimbote,Huánuco      ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4028,Educación Primaria,Educación Primaria,Universidad Católica Los Ángeles de Chimbote,Huánuco      ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4029,Administración de Empresas,Administración,Universidad Católica Los Ángeles de Chimbote,Huánuco      ,Universidad,Privada,0.0,0.0,0.0,2165.0,NO,0.0,0.0,0.0
4030,Contabilidad y Finanzas,Contabilidad,Universidad Católica Los Ángeles de Chimbote,Huánuco      ,Universidad,Privada,0.0,0.0,0.0,1888.0,NO,0.0,0.0,0.0
4031,Derecho,Derecho,Universidad Católica Los Ángeles de Chimbote,Huánuco      ,Universidad,Privada,0.0,0.0,0.0,2189.0,NO,0.0,0.0,0.0
4032,Educación Inicial,Educación Inicial,Universidad Católica Los Ángeles de Chimbote,Junín        ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
4033,Educación Primaria,Educación Primaria,Universidad Católica Los Ángeles de Chimbote,Junín        ,Universidad,Privada,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0
