id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled,duration_imputed_flag,monthly_income_imputed_flag,annual_cost_imputed_flag,admission_rate_imputed_flag,duration_years_imputed,monthly_income_imputed,annual_cost_imputed,admission_rate_imputed,income_score,admission_score,cost_score,duration_score
628,Educación Secundaria,Educación para el Trabajo,César Abraham Vallejo Mendoza,Amazonas     ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0,True,True,True,True,5.0,1748.0,240.0,94.0,0.12279704377487209,0.003827361563517915,0.9926221948970181,0.9433962264150944
629,Educación Secundaria,Educación Secundaria - Comunicación,César Abraham Vallejo Mendoza,Amazonas     ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0,True,True,True,True,5.0,1748.0,240.0,94.0,0.12279704377487209,0.003827361563517915,0.9926221948970181,0.9433962264150944
630,Educación Secundaria,Educación Secundaria - Matemática,César Abraham Vallejo Mendoza,Amazonas     ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0,True,True,True,True,5.0,1748.0,240.0,94.0,0.12279704377487209,0.003827361563517915,0.9926221948970181,0.9433962264150944
631,Educación Física,Educación Física,César Abraham Vallejo Mendoza,Amazonas     ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0,True,True,True,True,5.0,2417.0,260.0,99.0,0.2495736213757817,0.004030944625407166,0.992007377805103,0.9433962264150944
632,Idiomas,Idiomas,César Abraham Vallejo Mendoza,Amazonas     ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0,True,True,True,True,3.0,2005.0,1400.0,97.5,0.1714989577411408,0.003969869706840391,0.9569628035659391,0.9811320754716981
633,Ciencias de la Computación,Computación e Informática,César Abraham Vallejo Mendoza,Amazonas     ,Instituto,Pública,0.0,0.0,0.0,0.0,NO,0.0,0.0,0.0,True,True,True,True,3.0,2156.0,300.0,89.0,0.20011370096645822,0.0036237785016286646,0.9907777436212727,0.9811320754716981
634,Secretariado,Secretariado Ejecutivo,César Augusto Guardia Mayorga,Ayacucho     ,Instituto,Pública,3.0,120.0,93.0,0.0,SI,27.0,29.0,122.0,False,True,False,False,3.0,1660.0,120.0,93.0,0.10612090202766723,0.003786644951140065,0.9963110974485091,0.9811320754716981
635,Ciencias de la Computación,Computación e Informática,César Augusto Guardia Mayorga,Ayacucho     ,Instituto,Pública,3.0,120.0,96.0,0.0,SI,25.0,26.0,105.0,False,True,False,False,3.0,2156.0,120.0,96.0,0.20011370096645822,0.003908794788273616,0.9963110974485091,0.9811320754716981
636,Ingeniería Civil,Construcción Civil,César Augusto Guardia Mayorga,Ayacucho     ,Instituto,Pública,3.0,120.0,85.0,0.0,SI,17.0,20.0,73.0,False,True,False,False,3.0,2510.0,120.0,85.0,0.26719727117680503,0.0034609120521172636,0.9963110974485091,0.9811320754716981
637,Agropecuaria,Producción Agropecuaria,César Augusto Guardia Mayorga,Ayacucho     ,Instituto,Pública,3.0,120.0,86.0,0.0,NO,13.0,15.0,64.0,False,True,False,False,3.0,2366.0,120.0,86.0,0.23990903922683343,0.003501628664495114,0.9963110974485091,0.9811320754716981
